Ticker Symbol,Period Ending,Cash and Cash Equivalents,Net Income,Total Assets,Total Equity,Total Liabilities,Total Revenue,Earnings Per Share
LKQ,2012-12-31,59770000.0,261225000.0,3723456000.0,1964094000.0,1759362000.0,4122930000.0,0.88
LLL,2012-12-31,349000000.0,784000000.0,13800000000.0,5451000000.0,8349000000.0,13107000000.0,8.41
LLY,2012-12-31,4018800000.0,4088600000.0,34398900000.0,14765200000.0,19625000000.0,22603400000.0,3.67
LNT,2012-12-31,21200000.0,335700000.0,10785500000.0,3280000000.0,7505500000.0,3094500000.0,2.89
LUK,2012-12-31,145960000.0,864641000.0,9349118000.0,6767268000.0,2581850000.0,7810610000.0,3.49
LVLT,2012-12-31,987000000.0,-422000000.0,13307000000.0,1171000000.0,12136000000.0,6376000000.0,-1.96
LYB,2012-12-31,2737000000.0,2848000000.0,24220000000.0,11139000000.0,13081000000.0,45352000000.0,4.97
MAA,2012-12-31,9883000.0,109825000.0,2751068000.0,914052000.0,1837016000.0,475888000.0,2.56
MAC,2012-12-31,144451000.0,337426000.0,9311209000.0,3077529000.0,6233680000.0,797517000.0,2.51
MAR,2012-12-31,88000000.0,571000000.0,6342000000.0,-1285000000.0,7627000000.0,11814000000.0,
MAT,2012-12-31,1335711000.0,776464000.0,6526785000.0,3067044000.0,3459741000.0,6420881000.0,2.25
MCD,2012-12-31,2336100000.0,5464800000.0,35386500000.0,15293600000.0,20092900000.0,27567000000.0,5.41
MCO,2012-12-31,1755400000.0,690000000.0,3960900000.0,385200000.0,3575700000.0,2730300000.0,3.09
MDLZ,2012-12-31,4475000000.0,3067000000.0,75477000000.0,32276000000.0,43201000000.0,35015000000.0,1.7
MET,2012-12-31,15738000000.0,1324000000.0,836781000000.0,64453000000.0,772328000000.0,68150000000.0,1.12
MHK,2012-12-31,477672000.0,250258000.0,6303684000.0,3719617000.0,2584067000.0,5787980000.0,3.63
MJN,2012-12-31,1042100000.0,580400000.0,3258200000.0,18700000.0,3239500000.0,3901300000.0,2.96
MLM,2012-12-31,25394000.0,84474000.0,3160926000.0,1410545000.0,1750381000.0,2031901000.0,1.83
MMC,2012-12-31,2301000000.0,1176000000.0,16288000000.0,6542000000.0,9746000000.0,11924000000.0,2.16
MNST,2012-12-31,222514000.0,340020000.0,1043325000.0,644397000.0,398928000.0,2060702000.0,
MO,2012-12-31,2900000000.0,4180000000.0,35329000000.0,3168000000.0,32161000000.0,24618000000.0,2.06
MPC,2012-12-31,4860000000.0,3389000000.0,27223000000.0,11694000000.0,15529000000.0,82243000000.0,9.95
MRK,2012-12-31,13451000000.0,6168000000.0,106132000000.0,53020000000.0,53112000000.0,47267000000.0,2.03
